
0it [00:00, ?it/s]
2694it [00:10, 222.10it/s, bound: 0 | nc: 1 | ncall: 13101 | eff(%): 20.563 | loglstar:   -inf < -263.415 <    inf | logz: -270.258 +/-  0.024 | dlogz: 270.113 >  0.100]
2734it [00:10, 213.79it/s, bound: 0 | nc: 3 | ncall: 13151 | eff(%): 20.789 | loglstar:   -inf < -261.034 <    inf | logz: -267.881 +/-  0.024 | dlogz: 267.730 >  0.100]
2768it [00:11, 206.93it/s, bound: 0 | nc: 2 | ncall: 13202 | eff(%): 20.967 | loglstar:   -inf < -258.846 <    inf | logz: -265.554 +/-  0.024 | dlogz: 265.392 >  0.100]
2803it [00:11, 211.50it/s, bound: 0 | nc: 1 | ncall: 13251 | eff(%): 21.153 | loglstar:   -inf < -256.795 <    inf | logz: -263.401 +/-  0.024 | dlogz: 263.227 >  0.100]
2840it [00:11, 217.31it/s, bound: 0 | nc: 1 | ncall: 13301 | eff(%): 21.352 | loglstar:   -inf < -254.412 <    inf | logz: -261.272 +/-  0.024 | dlogz: 261.107 >  0.100]
2875it [00:11, 221.60it/s, bound: 0 | nc: 4 | ncall: 13352 | eff(%): 21.532 | loglstar:   -inf < -252.541 <    inf | logz: -259.142 +/-  0.024 | dlogz: 258.961 >  0.100]
2907it [00:11, 217.09it/s, bound: 0 | nc: 2 | ncall: 13401 | eff(%): 21.692 | loglstar:   -inf < -250.541 <    inf | logz: -257.142 +/-  0.024 | dlogz: 256.957 >  0.100]
2936it [00:11, 200.69it/s, bound: 0 | nc: 2 | ncall: 13451 | eff(%): 21.827 | loglstar:   -inf < -249.077 <    inf | logz: -255.594 +/-  0.024 | dlogz: 255.403 >  0.100]
2968it [00:11, 205.15it/s, bound: 0 | nc: 2 | ncall: 13502 | eff(%): 21.982 | loglstar:   -inf < -247.461 <    inf | logz: -254.039 +/-  0.024 | dlogz: 253.846 >  0.100]
3004it [00:12, 209.98it/s, bound: 0 | nc: 1 | ncall: 13551 | eff(%): 22.168 | loglstar:   -inf < -245.513 <    inf | logz: -251.989 +/-  0.024 | dlogz: 251.788 >  0.100]
